"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:30:39+02:00";51.05625
"Probe-1";"2020-05-04T15:30:39+02:00";51.05
"Probe-1";"2020-05-04T15:30:39+02:00";51.04375
"Probe-1";"2020-05-04T15:30:39+02:00";51.0375
"Probe-1";"2020-05-04T15:30:40+02:00";51.03125
"Probe-1";"2020-05-04T15:30:40+02:00";51.025
"Probe-1";"2020-05-04T15:30:40+02:00";51.01875
"Probe-1";"2020-05-04T15:30:40+02:00";51.0125
"Probe-1";"2020-05-04T15:30:40+02:00";51.00625
"Probe-1";"2020-05-04T15:30:41+02:00";51
"Probe-1";"2020-05-04T15:30:41+02:00";50.9875
"Probe-1";"2020-05-04T15:30:41+02:00";50.975
"Probe-1";"2020-05-04T15:30:41+02:00";50.9625
"Probe-1";"2020-05-04T15:30:41+02:00";50.95
"Probe-1";"2020-05-04T15:30:42+02:00";50.9375
"Probe-1";"2020-05-04T15:30:42+02:00";50.925
"Probe-1";"2020-05-04T15:30:42+02:00";50.9125
"Probe-1";"2020-05-04T15:30:42+02:00";50.9
"Probe-1";"2020-05-04T15:30:42+02:00";50.8875
"Probe-1";"2020-05-04T15:30:43+02:00";50.875
"Probe-1";"2020-05-04T15:30:43+02:00";50.88125
"Probe-1";"2020-05-04T15:30:43+02:00";50.8875
"Probe-1";"2020-05-04T15:30:43+02:00";50.89375
"Probe-1";"2020-05-04T15:30:43+02:00";50.9
"Probe-1";"2020-05-04T15:30:44+02:00";50.90625
"Probe-1";"2020-05-04T15:30:44+02:00";50.9125
"Probe-1";"2020-05-04T15:30:44+02:00";50.91875
"Probe-1";"2020-05-04T15:30:44+02:00";50.925
"Probe-1";"2020-05-04T15:30:44+02:00";50.93125
"Probe-1";"2020-05-04T15:30:45+02:00";50.9375
"Probe-1";"2020-05-04T15:30:45+02:00";50.9375
"Probe-1";"2020-05-04T15:30:45+02:00";50.9375
"Probe-1";"2020-05-04T15:30:45+02:00";50.9375
"Probe-1";"2020-05-04T15:30:45+02:00";50.9375
"Probe-1";"2020-05-04T15:30:46+02:00";50.9375
"Probe-1";"2020-05-04T15:30:46+02:00";50.9375
"Probe-1";"2020-05-04T15:30:46+02:00";50.9375
"Probe-1";"2020-05-04T15:30:46+02:00";50.9375
"Probe-1";"2020-05-04T15:30:46+02:00";50.9375
"Probe-1";"2020-05-04T15:30:47+02:00";50.9375
"Probe-1";"2020-05-04T15:30:47+02:00";50.9375
"Probe-1";"2020-05-04T15:30:47+02:00";50.9375
"Probe-1";"2020-05-04T15:30:47+02:00";50.9375
"Probe-1";"2020-05-04T15:30:47+02:00";50.9375
"Probe-1";"2020-05-04T15:30:48+02:00";50.9375
"Probe-1";"2020-05-04T15:30:48+02:00";50.94375
"Probe-1";"2020-05-04T15:30:48+02:00";50.95
"Probe-1";"2020-05-04T15:30:48+02:00";50.95625
"Probe-1";"2020-05-04T15:30:48+02:00";50.9625
"Probe-1";"2020-05-04T15:30:49+02:00";50.96875
"Probe-1";"2020-05-04T15:30:49+02:00";50.975
"Probe-1";"2020-05-04T15:30:49+02:00";50.98125
"Probe-1";"2020-05-04T15:30:49+02:00";50.9875
"Probe-1";"2020-05-04T15:30:49+02:00";50.99375
"Probe-1";"2020-05-04T15:30:50+02:00";51
"Probe-1";"2020-05-04T15:30:50+02:00";51
"Probe-1";"2020-05-04T15:30:50+02:00";51
"Probe-1";"2020-05-04T15:30:50+02:00";51
"Probe-1";"2020-05-04T15:30:50+02:00";51
"Probe-1";"2020-05-04T15:30:51+02:00";51
"Probe-1";"2020-05-04T15:30:51+02:00";51
"Probe-1";"2020-05-04T15:30:51+02:00";51
"Probe-1";"2020-05-04T15:30:51+02:00";51
"Probe-1";"2020-05-04T15:30:51+02:00";51
"Probe-1";"2020-05-04T15:30:52+02:00";51
"Probe-1";"2020-05-04T15:30:52+02:00";50.99375
"Probe-1";"2020-05-04T15:30:52+02:00";50.9875
"Probe-1";"2020-05-04T15:30:52+02:00";50.98125
"Probe-1";"2020-05-04T15:30:52+02:00";50.975
